arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
beets/context.py,3,1.0,1,3,A,,get_music_dir,8
beets/library/exceptions.py,4,1.0,1,4,A,FileOperationError,__init__,11
beets/library/__init__.py,1,1.0,1,1,A,,__getattr__,15
beets/ui/commands/__init__.py,1,1.0,1,1,A,,__getattr__,36
beets/test/_common.py,16,1.19,2,19,A,,item,71
beets/ui/commands/fields.py,3,1.33,2,4,A,,_print_keys,8
beets/logging.py,10,1.6,3,16,A,,_logsafe,81
beets/dbcore/sort.py,30,1.77,5,53,A,MultipleSort,sort,88
beets/importer/state.py,10,1.8,4,18,A,ImportState,progress_add,105
beets/dbcore/types.py,43,1.84,7,79,B,DelimitedString,normalize,315
beets/test/helper.py,65,1.85,7,120,B,TerminalImportSessionFixture,_add_choice_input,707
beets/dbcore/query.py,90,1.86,8,167,B,NumericQuery,match,471
beets/metadata_plugins.py,31,1.87,6,58,B,MetadataSourcePlugin,get_artist,281
beets/autotag/__init__.py,1,2.0,2,2,A,,__getattr__,38
beets/ui/commands/help.py,2,2.0,3,4,A,HelpCommand,func,15
beets/util/deprecation.py,5,2.0,4,10,A,,maybe_replace_legacy_field,76
beets/util/pathformats.py,1,2.0,2,2,A,,get_path_formats,20
beets/util/bluelet.py,63,2.11,11,133,C,,_drain_ready_threads,291
beets/dbcore/db.py,104,2.19,9,228,B,Model,store,648
beets/util/artresizer.py,47,2.32,9,109,B,IMBackend,version,180
beets/library/library.py,13,2.38,6,31,B,Library,_fetch,124
beets/__init__.py,2,2.5,4,5,A,IncludeLazyConfig,read,38
beets/ui/commands/list.py,2,2.5,4,5,A,,list_items,6
beets/util/units.py,4,2.5,4,10,A,,human_seconds,37
beets/dbcore/pathutils.py,5,2.6,5,13,A,,normalize_path_for_db,32
beets/plugins.py,39,2.74,11,107,C,BeetsPlugin,__init_subclass__,174
beets/util/functemplate.py,31,2.77,15,86,C,Parser,parse_expression,297
beets/util/pipeline.py,29,2.9,13,84,C,Pipeline,run_parallel,419
beets/util/lyrics.py,11,2.91,9,32,B,Lyrics,__post_init__,40
beets/library/models.py,88,2.97,14,261,C,DefaultTemplateFunctions,_tmpl_unique,1420
beets/autotag/distance.py,43,3.0,13,129,C,,string_dist,64
beets/library/queries.py,2,3.0,3,6,A,,parse_query_parts,14
beets/ui/commands/version.py,1,3.0,3,3,A,,show_version,9
beets/util/id_extractors.py,1,3.0,3,3,A,,extract_release_id,50
beets/autotag/hooks.py,26,3.08,10,80,B,,ensure_first_value,72
beets/util/color.py,6,3.17,7,19,B,,color_split,172
beets/util/m3u.py,4,3.25,6,13,B,M3UFile,load,43
beets/importer/session.py,16,3.5,10,56,B,ImportSession,run,192
beets/ui/__init__.py,44,3.55,12,156,C,,input_options,308
beets/importer/tasks.py,67,3.57,15,239,C,ImportTask,align_album_level_fields,423
beets/util/__init__.py,53,3.57,14,189,C,,sorted_walk,208
beets/autotag/match.py,23,3.74,14,86,C,,tag_item,485
beets/ui/commands/import_/display.py,19,3.84,14,73,C,AlbumChange,show_match_tracks,307
beets/importer/stages.py,16,4.0,9,64,B,,manipulate_files,277
beets/ui/commands/remove.py,4,4.0,12,16,C,,remove_items,8
beets/ui/commands/write.py,2,4.0,7,8,B,,write_items,14
beets/util/layout.py,14,4.29,13,60,C,,_split_words_preserving_colors,58
beets/util/extension.py,5,4.4,7,22,B,,_probe_formats,83
beets/ui/commands/stats.py,2,4.5,8,9,B,,show_stats,13
beets/library/migrations.py,7,5.0,15,35,C,LyricsMetadataInFlexFieldsMigration,_migrate_data,144
beets/dbcore/queryparse.py,6,5.33,8,32,B,,construct_sort_part,184
beets/util/diff.py,4,5.5,10,22,B,,_field_diff,49
beets/ui/commands/move.py,5,6.4,22,32,D,,move_items,63
beets/ui/commands/import_/__init__.py,5,6.8,13,34,C,,import_func,82
beets/ui/commands/completion.py,2,7.0,10,14,B,,completion_script,44
beets/ui/commands/modify.py,4,7.25,16,29,C,,modify_items,11
beets/ui/commands/import_/session.py,15,7.27,15,109,C,,choose_candidate,461
beets/ui/commands/config.py,2,8.0,10,16,B,,config_func,10
beets/ui/commands/update.py,5,8.0,14,40,C,,_resolve_update_fields,15
beets/ui/commands/utils.py,1,8.0,8,8,B,,do_query,6
beets/util/config.py,3,8.33,17,25,C,,sanitize_pairs,29
beets/util/hidden.py,1,9.0,9,9,B,,is_hidden,25
beets/exceptions.py,0,,,,,,,
